1;2;3;4;5;6
Данков;г;`4800000000000;`4800400100000;Липецкая;обл
Дегтярск;г;`6600000000000;`6600004100000;Свердловская;обл
Дедовск;г;`5000000000000;`5004600200000;Московская;обл
Демидов;г;`6700000000000;`6700600100000;Смоленская;обл
Дербент;г;`0500000000000;`0500000600000;Дагестан;респ
Десногорск;г;`6700000000000;`6700000200000;Смоленская;обл
Джанкой;г;`9100000000000;`9100000600000;Крым;респ
Дзержинск;г;`5200000000000;`5200000200000;Нижегородская;обл
Дзержинский;г;`5000000000000;`5000002300000;Московская;обл
Дивногорск;г;`2400000000000;`2400000300000;Красноярский край;
Дигора;г;`1500000000000;`1500400100000;Северная Осетия - Алания;респ
Димитровград;г;`7300000000000;`7300000200000;Ульяновская;обл
Дмитриев;г;`4600000000000;`4600600100000;Курская;обл
Дмитров;г;`5000000000000;`5004500000000;Московская;обл
Дмитровск;г;`5700000000000;`5700500100000;Орловская;обл
Дно;г;`6000000000000;`6000600100000;Псковская;обл
Добрянка;г;`5900000000000;`5900000600000;Пермский край;
Долгопрудный;г;`5000000000000;`5000002900000;Московская;обл
Долинск;г;`6500000000000;`6500300100000;Сахалинская;обл
Домодедово;г;`5000000000000;`5000000100000;Московская;обл
Донецк;г;`6100000000000;`6100000600000;Ростовская;обл
Донской;г;`7100000000000;`7100000200000;Тульская;обл
Дорогобуж;г;`6700000000000;`6700700100000;Смоленская;обл
Дрезна;г;`5000000000000;`5000100100000;Московская;обл
Дубна;г;`5000000000000;`5000000300000;Московская;обл
Дубовка;г;`3400000000000;`3400600100000;Волгоградская;обл
Дудинка;г;`2400000000000;`2404800100000;Красноярский край;
Духовщина;г;`6700000000000;`6700800100000;Смоленская;обл
Дюртюли;г;`0200000000000;`0206000100000;Башкортостан;респ
Дятьково;г;`3200000000000;`3200600100000;Брянская;обл
Евпатория;г;`9100000000000;`9100000900000;Крым;респ
Егорьевск;г;`5000000000000;`5000003900000;Московская;обл
Ейск;г;`2300000000000;`2301100100000;Краснодарский край;
Екатеринбург;г;`6600000000000;`6600000100000;Свердловская;обл
Елабуга;г;`1600000000000;`1601900100000;Татарстан;респ
Елец;г;`4800000000000;`4800000200000;Липецкая;обл
Ельня;г;`6700000000000;`6700900100000;Смоленская;обл
Еманжелинск;г;`7400000000000;`7404400100000;Челябинская;обл
Емва;г;`1100000000000;`1100600100000;Коми;респ
Енисейск;г;`2400000000000;`2400001400000;Красноярский край;
